layer,mean_abs_proj,mean_norm_proj
0,0.03131122142076492,0.15065360069274902
1,0.44196057319641113,0.15294477343559265
2,0.6360554695129395,0.15795961022377014
3,0.7991635203361511,0.15273189544677734
4,1.105940580368042,0.1514107882976532
5,1.2817513942718506,0.14685599505901337
6,1.3875890970230103,0.14969566464424133
7,1.6899217367172241,0.1553560197353363
8,2.1349215507507324,0.15219415724277496
9,2.3880953788757324,0.14967676997184753
10,2.5213167667388916,0.15180067718029022
11,2.7590131759643555,0.15810824930667877
12,2.859631299972534,0.15974649786949158
13,2.9468700885772705,0.16095347702503204
14,3.1511263847351074,0.16151849925518036
15,3.3927295207977295,0.1655934751033783
16,3.7680201530456543,0.174030140042305
17,4.025914192199707,0.17705592513084412
18,4.430434703826904,0.1859910786151886
19,5.563446998596191,0.21284475922584534
20,7.864874362945557,0.2490611970424652
21,9.819860458374023,0.2539196312427521
22,11.85415267944336,0.24579885601997375
23,14.46741008758545,0.24626867473125458
24,16.894527435302734,0.24230071902275085
25,19.83999252319336,0.24446913599967957
26,23.40764045715332,0.24785497784614563
27,27.30710220336914,0.25099343061447144
28,23.8900203704834,0.24419613182544708
